일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV1,<35,Master,Man,No,Dev,15,6,Germany,77290.0,7.0
DEV2,<35,Undergraduate,Man,No,Dev,9,6,Canada,,13.0
DEV3,>35,Master,Man,No,Dev,26,18,Germany,77831.0,
DEV4,>35,Undergraduate,Man,No,Dev,39,21,United Kingdom of Great Britain and Northern Ireland,1000000.0,3.0
DEV5,<35,Master,Man,No,Dev,19,10,Germany,60535.0,99.0
DEV6,<35,Undergraduate,Man,No,Dev,8,0,United States of America,103000.0,7.0
DEV7,>35,Master,Man,Yes,Dev,34,12,United Kingdom of Great Britain and Northern Ireland,64630.0,14.0
DEV8,>35,Other,Man,Yes,Dev,25,10,Canada,71850.0,6.0
DEV9,>35,Undergraduate,Man,No,Dev,24,18,United Kingdom of Great Britain and Northern Ireland,129266.0,12.0
DEV10,>35,Undergraduate,Man,No,Dev,25,15,United States of America,105000.0,6.0
DEV11,>35,PhD,Man,No,Dev,10,8,Canada,151263.0,8.0
DEV12,>35,Other,Man,No,Dev,31,17,Canada,95295.0,10.0
DEV13,<35,PhD,Man,No,Dev,18,1,United States of America,100000.0,8.0
DEV14,>35,Undergraduate,Man,No,Dev,26,14,United Kingdom of Great Britain and Northern Ireland,61398.0,10.0
DEV15,<35,Other,Man,Yes,Dev,18,8,Germany,24648.0,18.0
DEV16,<35,Undergraduate,Man,No,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,64630.0,8.0
DEV17,<35,Other,Man,No,Dev,6,1,Germany,29508.0,33.0
DEV18,<35,Undergraduate,Man,No,Dev,12,6,United States of America,140000.0,14.0
DEV19,<35,Undergraduate,Man,No,Dev,7,1,United States of America,54000.0,10.0
DEV20,>35,Master,Man,Yes,Dev,27,16,United States of America,200000.0,19.0
DEV21,<35,Undergraduate,Man,Yes,Dev,1,3,United Kingdom of Great Britain and Northern Ireland,,20.0
DEV22,>35,Undergraduate,Man,No,Dev,38,34,United States of America,,5.0
DEV23,<35,Master,Man,No,Dev,27,11,Germany,,22.0
DEV24,>35,Undergraduate,Man,No,Dev,31,25,United Kingdom of Great Britain and Northern Ireland,70047.0,
DEV25,<35,Undergraduate,Man,Yes,NotDev,15,4,United States of America,98500.0,
DEV26,<35,Undergraduate,Man,No,Dev,20,7,India,2340.0,
DEV27,>35,Undergraduate,Man,No,Dev,41,24,United States of America,1000000.0,11.0
DEV28,>35,PhD,Man,No,Dev,42,22,United Kingdom of Great Britain and Northern Ireland,2000000.0,1.0
DEV29,>35,Master,Man,No,NotDev,3,3,Canada,999999.0,5.0
DEV30,>35,Other,Man,No,Dev,35,25,United Kingdom of Great Britain and Northern Ireland,60752.0,99.0
DEV31,>35,Master,Man,No,Dev,20,13,United Kingdom of Great Britain and Northern Ireland,84019.0,100.0
DEV32,<35,Master,Man,No,Dev,10,9,United States of America,70000.0,120.0
DEV33,<35,Undergraduate,Man,Yes,Dev,10,5,United States of America,90000.0,12.0
DEV34,<35,Undergraduate,Man,No,Dev,10,1,India,1512.0,32.0
DEV35,<35,Master,Woman,No,NotDev,9,2,United States of America,193000.0,5.0
DEV36,>35,Undergraduate,Man,No,Dev,24,14,United Kingdom of Great Britain and Northern Ireland,77556.0,15.0
DEV37,>35,Undergraduate,Man,No,Dev,21,14,United Kingdom of Great Britain and Northern Ireland,103408.0,19.0
DEV38,<35,Undergraduate,Man,No,Dev,10,8,Germany,84316.0,29.0
DEV39,<35,Undergraduate,Man,No,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,103408.0,4.0
DEV40,>35,Undergraduate,Man,Yes,Dev,30,22,United States of America,165000.0,29.0
DEV41,<35,Other,Man,Yes,Dev,10,5,Germany,51888.0,14.0
DEV42,<35,Undergraduate,Man,No,Dev,6,3,Germany,42158.0,11.0
DEV43,<35,Undergraduate,NonBinary,Yes,Dev,18,7,Germany,32424.0,2.0
DEV44,<35,Undergraduate,Man,No,NotDev,2,2,United States of America,60000.0,12.0
DEV45,>35,PhD,Man,No,Dev,13,8,Germany,74588.0,3.0
DEV46,<35,Undergraduate,Man,No,Dev,12,3,United Kingdom of Great Britain and Northern Ireland,50153.0,11.0
DEV47,<35,Master,Man,No,Dev,15,11,India,30716.0,13.0
DEV48,<35,Master,Man,No,NotDev,6,2,Germany,54049.0,5.0
DEV49,<35,Other,Man,No,Dev,4,2,United Kingdom of Great Britain and Northern Ireland,19389.0,10.0
DEV50,>35,Undergraduate,Man,No,Dev,18,13,United States of America,160000.0,6.0
DEV51,>35,Undergraduate,Man,No,Dev,37,31,United States of America,185000.0,17.0
DEV52,<35,Undergraduate,Man,No,NotDev,20,9,United States of America,107972.0,7.0
DEV53,<35,Other,Man,Yes,Dev,8,6,United Kingdom of Great Britain and Northern Ireland,48472.0,12.0
DEV54,>35,Undergraduate,Man,Yes,Dev,24,16,United States of America,120000.0,13.0
DEV55,<35,PhD,Man,No,NotDev,10,4,United Kingdom of Great Britain and Northern Ireland,51704.0,5.0
DEV56,>35,Undergraduate,Man,No,Dev,25,15,Germany,70264.0,10.0
DEV57,<35,Master,Man,No,Dev,22,13,United States of America,115000.0,10.0
DEV58,<35,Undergraduate,Woman,Yes,Dev,21,12,United States of America,144000.0,22.0
DEV59,>35,Master,Man,No,Dev,31,21,Germany,70264.0,5.0
DEV60,>35,Undergraduate,Man,No,Dev,44,34,Canada,181515.0,7.0
DEV61,>35,NoHigherEd,Man,No,Dev,22,22,United States of America,105000.0,6.0
DEV62,>35,Master,Man,No,Dev,20,5,Germany,56211.0,13.0
DEV63,<35,Master,Man,No,NotDev,10,7,United Kingdom of Great Britain and Northern Ireland,64630.0,7.0
DEV64,<35,Master,Man,No,Dev,14,10,United States of America,110000.0,6.0
DEV65,>35,Undergraduate,Man,Yes,Dev,25,15,United States of America,120000.0,21.0
DEV66,<35,NoHigherEd,Man,Yes,Dev,11,6,Germany,48644.0,20.0
DEV67,<35,Undergraduate,Man,No,Dev,18,4,Canada,75631.0,3.0
DEV68,>35,Other,Man,No,NotDev,41,39,United States of America,70000.0,6.0
DEV69,<35,Master,Man,No,NotDev,14,9,Germany,58373.0,9.0
DEV70,<35,Undergraduate,Man,No,Dev,4,2,India,5585.0,13.0
DEV71,<35,Other,Woman,Yes,Dev,15,4,United States of America,58000.0,8.0
DEV72,<35,Undergraduate,Man,No,Dev,18,6,Germany,61616.0,15.0
DEV73,<35,Master,Man,Yes,Dev,11,6,Canada,68068.0,10.0
DEV74,<35,Undergraduate,Man,Yes,Dev,12,5,India,217800.0,17.0
DEV75,<35,NoHigherEd,Man,Yes,Dev,18,1,United States of America,40000.0,6.0
DEV76,<35,Undergraduate,Man,No,Dev,15,8,Canada,71850.0,12.0
DEV77,>35,Undergraduate,Man,No,Dev,21,14,Canada,66934.0,4.0
DEV78,<35,NoHigherEd,NonBinary,Yes,Dev,8,7,Germany,58373.0,17.0
DEV79,>35,Master,Man,No,Dev,25,24,United Kingdom of Great Britain and Northern Ireland,55582.0,7.0
DEV80,>35,Undergraduate,Man,No,Dev,42,27,United Kingdom of Great Britain and Northern Ireland,71093.0,2.0
DEV81,>35,Other,Man,No,Dev,30,21,United Kingdom of Great Britain and Northern Ireland,60752.0,14.0
DEV82,>35,Undergraduate,Man,No,Dev,26,16,Japan,179858.0,16.0
DEV83,>35,PhD,Man,No,NotDev,20,6,United States of America,90000.0,8.0
DEV84,<35,Undergraduate,Man,No,Dev,12,3,United States of America,67000.0,28.0
DEV85,<35,Undergraduate,Man,No,Dev,12,4,India,21676.0,8.0
DEV86,>35,Other,Man,Yes,Dev,25,16,United States of America,195000.0,11.0
DEV87,>35,PhD,Man,No,Dev,35,23,United Kingdom of Great Britain and Northern Ireland,155111.0,9.0
DEV88,<35,Undergraduate,Man,Yes,Dev,6,2,Canada,90000.0,14.0
DEV89,<35,Master,Man,No,NotDev,20,12,United States of America,29000.0,2.0
DEV90,<35,Undergraduate,Man,No,Dev,10,6,United States of America,170000.0,24.0
DEV91,<35,Undergraduate,Man,No,Dev,9,4,United States of America,70000.0,13.0
DEV92,<35,NoHigherEd,Man,No,Dev,8,2,United States of America,40000.0,9.0
DEV93,<35,Master,Man,No,Dev,7,6,United Kingdom of Great Britain and Northern Ireland,54224.0,8.0
DEV94,>35,Undergraduate,Man,Yes,NotDev,22,4,United States of America,85000.0,5.0
DEV95,<35,Undergraduate,Man,No,Dev,6,1,Germany,64859.0,17.0
DEV96,<35,Other,Man,Yes,Dev,12,5,Canada,31750.0,18.0
DEV97,<35,Master,Man,No,Dev,6,2,United States of America,100000.0,17.0
DEV98,<35,Undergraduate,Man,No,Dev,5,3,United States of America,92000.0,14.0
DEV99,<35,Master,Man,No,Dev,15,12,United States of America,135000.0,7.0
DEV100,<35,Undergraduate,Man,Yes,Dev,9,5,United Kingdom of Great Britain and Northern Ireland,71093.0,24.0
DEV101,<35,Undergraduate,Man,No,Dev,8,4,United States of America,150000.0,11.0
DEV102,>35,Undergraduate,Man,Yes,Dev,21,19,United States of America,65000.0,13.0
DEV103,>35,NoHigherEd,Man,No,Dev,18,17,Germany,25944.0,11.0
DEV104,<35,Undergraduate,Man,Yes,Dev,10,3,Germany,59454.0,8.0
DEV105,>35,Undergraduate,Man,Yes,Dev,28,20,Germany,19452.0,17.0
DEV106,>35,PhD,Man,No,Dev,39,35,United States of America,110000.0,5.0
DEV107,<35,Undergraduate,Man,No,Dev,11,3,Germany,31128.0,11.0
DEV108,>35,Master,Man,Yes,Dev,40,21,United States of America,190000.0,9.0
DEV109,>35,PhD,Man,No,Dev,30,10,United Kingdom of Great Britain and Northern Ireland,49765.0,3.0
DEV110,<35,Undergraduate,Man,No,Dev,14,8,United States of America,57765.0,7.0
