,뉴스제목,링크
0,"브이디로보틱스, 고속도로 휴게소에 '클리버A1' 공급",https://zdnet.co.kr/view/?no=20251119103412
1,"""성수동에 거대 옷장이""…W컨셉, 팝업 '더블유클로젯' 문 열어",https://zdnet.co.kr/view/?no=20251119102157
2,"경찰, '해킹 조사방해' KT 사옥 일부 압수수색",https://zdnet.co.kr/view/?no=20251119103026
3,"국민의힘 지도부 만난 최태원 ""기업 목소리 반영해달라”",https://zdnet.co.kr/view/?no=20251119103022
4,2025 방송 공동제작 국제 컨퍼런스 열려,https://zdnet.co.kr/view/?no=20251119085521
5,"이노스페이스 ""UAE 우주 데이터센터 구축 추진""",https://zdnet.co.kr/view/?no=20251119102852
6,"삼성·두산·SAP 거친 디지털 전문가, 유아이패스 韓 지사장 됐다",https://zdnet.co.kr/view/?no=20251119102757
7,"경동나비엔, 2년 연속 '대리점 동행기업'",https://zdnet.co.kr/view/?no=20251119102526
8,배달의민족 '한그릇·픽업'에 스타벅스 입점…1인 주문·포장 서비스 확대,https://zdnet.co.kr/view/?no=20251119101500
9,"브라이트에너지파트너스, 2년간 누적 243MW 기업 전력공급계약",https://zdnet.co.kr/view/?no=20251119102328
10,"청호나이스, 서울 다함께 어울림 한마당 후원",https://zdnet.co.kr/view/?no=20251119102054
11,"챗GPT, 금융 서비스 품는다…오픈AI-인튜이트 플랫폼 통합 협력",https://zdnet.co.kr/view/?no=20251119095637
12,"식품도 블랙프라이데이…쿠팡, 로켓배송 인기 먹거리 할인",https://zdnet.co.kr/view/?no=20251119101436
13,"코웨이, 한국ESG기준원 평가서 3년 연속 '통합 A'",https://zdnet.co.kr/view/?no=20251119101852
14,"영풍 석포제련소 무방류시스템, 지자체 견학 발길 이어져",https://zdnet.co.kr/view/?no=20251119101245
15,"전남 중소기업 AI 활용률 오를까…카카오엔터프라이즈, 해결사로 나서",https://zdnet.co.kr/view/?no=20251119101541
16,지역 산업·디지털 인재 키운다…RAPA·고양상공회의소 MOU 체결,https://zdnet.co.kr/view/?no=20251119092257
17,'드론 발사'하는 휴머노이드 로봇 나왔다,https://zdnet.co.kr/view/?no=20251119085536
18,"""카디비도 극찬""…아누아 TXA 세럼, 하루 만에 SNS 천만뷰 돌파",https://zdnet.co.kr/view/?no=20251119100551
19,"블리자드 '오버워치2', 45번째 영웅 '벤데타' 공개",https://zdnet.co.kr/view/?no=20251119101242
20,"""아이폰17, 와이파이 속도 최대 40%↑…애플 N1 칩 효과 입증""",https://zdnet.co.kr/view/?no=20251119091814
21,"LGU+, 5년 연속 ESG 평가 종합 A등급 획득",https://zdnet.co.kr/view/?no=20251119095208
22,"비트코인, 9만 달러도 깨졌다…7개월 만에 최저",https://zdnet.co.kr/view/?no=20251119075247
23,"효성그룹, 임원 인사 단행…스판덱스·초고압변압기 리더 부사장 승진",https://zdnet.co.kr/view/?no=20251119095527
24,"지마켓, 라자다 프로모션 매출 4배 증가…""거래액 급등""",https://zdnet.co.kr/view/?no=20251119095645
25,"中 우주인들, 또 다시 고립…""중국 우주 규정의 잠재적 결함"" [우주로 간다]",https://zdnet.co.kr/view/?no=20251119075042
26,챗GPT·X·스포티파이 등 글로벌 다운…원인은 'AI',https://zdnet.co.kr/view/?no=20251119092144
27,"케이뱅크, 두부·서적 소매업 사장님 대상 보증서 대출 공급",https://zdnet.co.kr/view/?no=20251119094410
28,"LG헬로비전, 4년 연속 ESG 평가 종합 A등급",https://zdnet.co.kr/view/?no=20251119083954
29,"KISA, 선박 사이버보안 내재화 5대 성과 달성",https://zdnet.co.kr/view/?no=20251119082614
30,"롯데하이마트, 수험생 가전 할인행사",https://zdnet.co.kr/view/?no=20251119095841
31,"트럼프, '맥도날드 5달러 세트' 내세워 물가 안정 성과 강조",https://zdnet.co.kr/view/?no=20251119091903
32,"세븐일레븐, 대웅제약과 협업…3천원대 건강기능식품 출시",https://zdnet.co.kr/view/?no=20251119094956
33,"美 FTC, 소프트뱅크 암페어 인수 승인…M&A 급물살",https://zdnet.co.kr/view/?no=20251118145830
34,"테무 모회사 PDD, 성장세 '둔화'…3분기 실적 시장 기대치 하회",https://zdnet.co.kr/view/?no=20251119085417
35,"레드포스 PC방, 베트남 호치민 1호점 시공…글로벌 확장 시동",https://zdnet.co.kr/view/?no=20251119095508
36,[인사] 효성그룹 임원 승진 명단,https://zdnet.co.kr/view/?no=20251119094856
37,"엔젤로보틱스, 차세대 세계일류상품 및 생산기업 선정",https://zdnet.co.kr/view/?no=20251119095242
38,"800평·13m 초대형 트리…롯데百, 크리스마스 마켓 개최",https://zdnet.co.kr/view/?no=20251119094901
39,"HMM, BGN그룹 손잡고 싱가포르에 LPG 합작사 설립",https://zdnet.co.kr/view/?no=20251119094807
40,"충남 '인디게임파크' 1기, 정책 실험에서 글로벌 성과로…전방위 지원 빛났다",https://zdnet.co.kr/view/?no=20251119094434
41,"""우주바이오도 K 저력 우뚝”…박찬흠 교수팀, 휴먼인스페이스 챌린지 우승",https://zdnet.co.kr/view/?no=20251119094646
42,"금보원, 위협인텔리전스 전담 조직 내년 1월 신설",https://zdnet.co.kr/view/?no=20251119094355
43,"박준홍 램리서치코리아 대표, 제5회 반디기술상 '사회공헌상' 수상",https://zdnet.co.kr/view/?no=20251119093252
44,"삼성전자, 하나카드와 '삼성 월렛' 제휴 업무협약 체결",https://zdnet.co.kr/view/?no=20251119090809
45,"탑런토탈솔루션, 獨 콘티넨탈서 백라이트 공급계약 수주",https://zdnet.co.kr/view/?no=20251119085520
46,"""LG 스마트TV 홈화면, 브랜드 광고 창구로 급부상”",https://zdnet.co.kr/view/?no=20251119093741
47,"에쓰오일, 에너지 취약계층에 난방유 지원",https://zdnet.co.kr/view/?no=20251119093337
48,"한미반도체 HBM TC 본더, '2025년 세계일류상품' 선정",https://zdnet.co.kr/view/?no=20251119084940
49,"넷이즈게임즈 '연운', 누적 이용자 200만 돌파…최고 동접 19만",https://zdnet.co.kr/view/?no=20251119093255
50,"핸즈프리에 최장거리 전기차…캐딜락, 2억원대 '에스컬레이드IQ' 출시",https://zdnet.co.kr/view/?no=20251119090026
51,"엠넷플러스, '2025 마마어워즈' 4K 해상도로 생중계",https://zdnet.co.kr/view/?no=20251119092946
52,"[1분건강] 40대 후반 여성, 체질량과 유방암 발병률 관련있다",https://zdnet.co.kr/view/?no=20251119092832
53,"KT 유심교체, 수도권·강원도 전지역으로 확대",https://zdnet.co.kr/view/?no=20251119092507
54,"닛산, 반도체 칩 공급 차질로 규슈 공장 또 감산",https://zdnet.co.kr/view/?no=20251119084717
55,"독자 AI파운데이션 모델 'SKT 컨소시엄', 대학생 연구자들과 워크숍 열어",https://zdnet.co.kr/view/?no=20251119092108
56,"OTT 티빙, 국내 프로야구 독점 중계권 이어간다",https://zdnet.co.kr/view/?no=20251119091511
57,"허깅페이스 대표 ""LLM 버블, 내년 터질 수도""",https://zdnet.co.kr/view/?no=20251119085732
58,"지디벤처스, 엔터 IP 플랫폼 '수에르테' 투자",https://zdnet.co.kr/view/?no=20251119091305
59,올해 빛낸 구글앱에 '네이버플러스스토어'·'세븐나이츠' 등 영예,https://zdnet.co.kr/view/?no=20251119084309
60,"미국 통화감독청 ""은행, 가스비 지급 목적의 가상자산 보유 허용”",https://zdnet.co.kr/view/?no=20251119085553
61,"버즈니, `2025 아시아 통신판매 비전`서 기술혁신 수상",https://zdnet.co.kr/view/?no=20251119083940
62,"포스티, 26일까지 연중 최대 행사 블랙 프라이데이' 진행",https://zdnet.co.kr/view/?no=20251119082650
63,"어피닛, AI 금융 컨퍼런스 'ACM ICAIF 2025'서 1위",https://zdnet.co.kr/view/?no=20251119081937
64,[미장브리핑] AI 투자 거품론에 증시 하락 마감,https://zdnet.co.kr/view/?no=20251119073137
65,"""흩어진 AI 비서 통합 관리""…MS, '에이전트 365' 공개",https://zdnet.co.kr/view/?no=20251119025907
66,"MS, 워드·엑셀·파워포인트용 AI 에이전트 공개…""문서 작성 특화""",https://zdnet.co.kr/view/?no=20251119040249
67,"MS, 에이전트 팩토리 공개…""업무·데이터·지식 연결""",https://zdnet.co.kr/view/?no=20251119050241
68,"구글, 신규 모델 '제미나이3' 출시…""추론력 최고치""",https://zdnet.co.kr/view/?no=20251119053326
69,"3천원대 치킨…이마트, 물가안정 '4일 특가' 진행",https://zdnet.co.kr/view/?no=20251118171009
70,"""앤트로픽 협력 강화""…MS, 파운드리에 '클로드' 추가",https://zdnet.co.kr/view/?no=20251119033115
71,"""모든 AI 작업 한 흐름으로""…MS, 이그나이트 2025 개최",https://zdnet.co.kr/view/?no=20251119022449
72,"케이웨더, 재해 사전감지 로봇 출시",https://zdnet.co.kr/view/?no=20251118235623
73,"'韓 진출 8주년' 브리타, 생수병 69억개 절감",https://zdnet.co.kr/view/?no=20251118234659
74,"더핑크퐁컴퍼니, 코스닥 상장...첫날 9% 상승 마감",https://zdnet.co.kr/view/?no=20251118230137
75,"대림바스, 온라인몰 매출 82% 증가",https://zdnet.co.kr/view/?no=20251118234049
76,"쿠쿠, 굿디자인 어워드 3관왕",https://zdnet.co.kr/view/?no=20251118233703
77,"비쎌, 반려가구 홈클리닝 솔루션 선봬",https://zdnet.co.kr/view/?no=20251118233333
78,클라우드플레어 장애로 챗GPT·X 등 먹통,https://zdnet.co.kr/view/?no=20251118231015
79,"JBL, '파티박스 520' 스피커 출시",https://zdnet.co.kr/view/?no=20251118232838
80,"세이프웨어, '추락보호 에어백' 조달청 우수제품",https://zdnet.co.kr/view/?no=20251118232234
81,"공영홈쇼핑, 19일 극딜데이 진행",https://zdnet.co.kr/view/?no=20251118225116
82,"""강추위 준비하세요""...롯데홈쇼핑, '프리윈터 쇼핑위크' 진행",https://zdnet.co.kr/view/?no=20251118221559
