,가게명,가게주소,가게번호
0,솥돈 홍대점,서울 마포구 잔다리로 35 1층 101호,0507-1470-2779
1,디어리스트 연남,서울 마포구 동교로27길 21-8 1층,0507-1333-6861
2,바다회사랑 서교점,서울 마포구 동교로 143,02-325-3435
3,대나무숙성회관 홍대점,서울 마포구 동교로 212-9 1층,0507-1495-9049
4,키친485 홍대,서울 마포구 양화로6길 67 1층,0507-1406-0485
5,연남족발1987 홍대점,서울 마포구 와우산로29길 69 1층 101호,0507-1384-1988
6,구사 연남,서울 마포구 동교로30길 6 연트럴타워 지하1층,없음
7,아벨롭 홍대본점,서울 마포구 양화로15안길 6 Avelop,02-336-8897
8,합정광안리 숙성횟집 2호점,서울 마포구 독막로3길 50 합정광안리 2호점,0507-1335-7367
9,바다생고기,서울 마포구 와우산로29나길 7 1층 바다생고기,02-6052-9098
10,더기와 합정점,서울 마포구 독막로3길 25 1층,0507-1416-1913
11,합정광안리 숙성횟집 본점,서울 마포구 독막로3길 38 합정광안리 본점,0507-1314-7366
12,부야스곱창 홍대본점,서울 마포구 어울마당로 136-13 2층,02-3144-4967
13,육산장 홍대본점,서울 마포구 와우산로21길 31-11 1층,0507-1428-7226
14,장인닭갈비 홍대2호점,서울 마포구 어울마당로 111-1 2층,없음
15,조연탄 합정점,서울 마포구 양화로8길 13 지1층,0507-1475-5539
16,오밀 홍대,서울 마포구 양화로 178-8 2층,0507-1312-9197
17,동주 합정점,서울 마포구 독막로7길 41,0507-1431-0122
18,셔우드,서울 마포구 와우산로37길 11 2층,070-7543-6590
19,카레시 합정본점,서울 마포구 독막로9길 31 1층,0507-1310-6363
20,더플레이스 홍대L7점,서울 마포구 양화로 141 L7홍대 21층,0507-1373-1372
21,단막 합정점,"서울 마포구 독막로7길 21 1, 2층",0507-1326-4531
22,비스트로사랑방,"서울 마포구 와우산로15길 40 BISTRO 사랑방 , 2층",070-4799-0368
23,조블라 홍대점,서울 마포구 어울마당로 136-10 1층,0507-1355-9243
24,무제서울,서울 마포구 양화로6길 91 1층,0507-1326-7630
25,귀한족발 홍대서교점,서울 마포구 동교로 127 1층(서교동),0507-1307-3225
26,몽달 홍대점,서울 마포구 월드컵북로2길 31 1층,0507-1367-9712
27,두루미 해장집,서울 마포구 동교로 147-1 1층 (서교동),0507-1383-6605
28,동백가옥 합정점,서울 마포구 양화로6길 38 1층 동백가옥 합정점,0507-1420-9685
29,라헬의부엌 홍대점,"서울 마포구 와우산로29길 47 1,2층",0507-1464-4325
30,황곱 황소곱창,서울 마포구 어울마당로 149 1층,0507-1492-8310
31,기린1인용회전훠궈,서울 마포구 홍익로6길 38 2층,02-6081-9319
32,테이커테이블 연남점,서울 마포구 동교로30길 6 1층,0507-1376-0066
33,오키도키1호점,서울 마포구 와우산로17길 15 2층,0507-1447-1804
34,하이디라오 홍대점,서울 마포구 양화로 176 동교동 와이즈파크 5층,0507-1381-7668
35,멘노아지 홍대점,"서울 마포구 홍익로 10 지하1층 지141,142호",0507-1487-1227
36,카가와 합정본점,서울 마포구 잔다리로 66 1층,0507-1421-1434
37,추파 홍대점,서울 마포구 홍익로3길 44 4층,0507-1303-5582
38,오늘은내가쏜다,서울 마포구 잔다리로 62 1층,0507-1344-7762
39,23플래터,서울 마포구 잔다리로3안길 36 1층 23플래터,0507-1340-5417
40,더기와 합정점,서울 마포구 독막로3길 25 1층,0507-1416-1913
41,옹시미,서울 마포구 월드컵북로4길 59 1층,0507-1407-2399
42,코노미,서울 마포구 잔다리로6길 28,02-333-3036
43,카페 플로라운지,"서울 마포구 양화로18안길 26 1층, 2층, 3층",0507-1416-6547
44,스케줄합정,서울 마포구 양화로6길 33 1층,0507-1338-2622
45,컴피,서울 마포구 양화로6길 32 2층,0507-1330-4489
46,키친205 홍대점,서울 마포구 와우산로 101 1층,02-336-8273
47,토모토카레 홍대점,서울 마포구 와우산로29길 27 1층,0507-1403-4200
48,오마카세 오사이초밥 홍대점,서울 마포구 연희로1길 11 2층,0507-1348-5425
49,집밥김치찌개 본점,서울 마포구 와우산로13길 25 1층 집밥김치찌개,02-332-2866
50,피오니,서울 마포구 독막로7길 51,02-333-5325
51,합정공감,서울 마포구 양화로6길 49 2F,02-333-4733
